Country,Population,GDP,
Angola ," 12,127,071.00 "," 1,900.00 ",
Benin ," 7,862,944.00 "," 1,100.00 ",
Botswana ," 1,639,833.00 "," 9,000.00 ",
Burkina Faso ," 13,902,972.00 "," 1,100.00 ",
Burundi ," 8,090,068.00 ", 600.00 ,
Cameroon ," 17,340,702.00 "," 1,800.00 ",
Cape Verde ," 420,979.00 "," 1,400.00 ",
Central African Rep. ," 4,303,356.00 "," 1,100.00 ",
Chad ," 9,944,201.00 "," 1,200.00 ",
Comoros ," 690,948.00 ", 700.00 ,
"Congo, Dem. Rep. "," 62,660,551.00 ", 700.00 ,
"Congo, Repub. of the "," 3,702,314.00 ", 700.00 ,
Cote d'Ivoire ," 17,654,843.00 "," 1,400.00 ",
Djibouti ," 486,530.00 "," 1,300.00 ",
Equatorial Guinea ," 540,109.00 "," 2,700.00 ",
Eritrea ," 4,786,994.00 ", 700.00 ,
Ethiopia ," 74,777,981.00 ", 700.00 ,
Gabon ," 1,424,906.00 "," 5,500.00 ",
"Gambia, The "," 1,641,564.00 "," 1,700.00 ",
Ghana ," 22,409,572.00 "," 2,200.00 ",
Guinea ," 9,690,222.00 "," 2,100.00 ",
Guinea-Bissau ," 1,442,029.00 ", 800.00 ,
Kenya ," 34,707,817.00 "," 1,000.00 ",
Lesotho ," 2,022,331.00 "," 3,000.00 ",
Liberia ," 3,042,004.00 "," 1,000.00 ",
Madagascar ," 18,595,469.00 ", 800.00 ,
Malawi ," 13,013,926.00 ", 600.00 ,
Mali ," 11,716,829.00 ", 900.00 ,
Mauritania ," 3,177,388.00 "," 1,800.00 ",
Mauritius ," 1,240,827.00 "," 11,400.00 ",
Mayotte ," 201,234.00 "," 2,600.00 ",
Mozambique ," 19,686,505.00 "," 1,200.00 ",
Namibia ," 2,044,147.00 "," 7,200.00 ",
Niger ," 12,525,094.00 ", 800.00 ,
Nigeria ," 131,859,731.00 ", 900.00 ,
Reunion ," 787,584.00 "," 5,800.00 ",
Rwanda ," 8,648,248.00 "," 1,300.00 ",
Saint Helena ," 7,502.00 "," 2,500.00 ",
Sao Tome & Principe ," 193,413.00 "," 1,200.00 ",
Senegal ," 11,987,121.00 "," 1,600.00 ",
Seychelles ," 81,541.00 "," 7,800.00 ",
Sierra Leone ," 6,005,250.00 ", 500.00 ,
Somalia ," 8,863,338.00 ", 500.00 ,
South Africa ," 44,187,637.00 "," 10,700.00 ",
Sudan ," 41,236,378.00 "," 1,900.00 ",
Swaziland ," 1,136,334.00 "," 4,900.00 ",
Tanzania ," 37,445,392.00 ", 600.00 ,
Togo ," 5,548,702.00 "," 1,500.00 ",
Uganda ," 28,195,754.00 "," 1,400.00 ",
Zambia ," 11,502,010.00 ", 800.00 ,
Zimbabwe ," 12,236,805.00 "," 1,900.00 ",
,,,
