Country,Population1,GDP,FX,LAT1,LON1,Ages,Color
Benin ,11485048,14269,0.07,9.30769,2.315834,60,blue
Burkina Faso ,19752000,14138,0.15,12.238333,-1.561593,60,red
Cape Verde ,543767,1979,0.61,16.002082,-24.013197,45,yellow
Ghana ,29767108,65518,7.2,7.946527,-1.023194,63,black
Guinea ,12414318,12099,0.45,9.945587,-9.696645,61,gray
Guinea-Bissau ,1874309,1429,0.02,11.803749,-15.180413,46,cyan
Ivory Coast ,25069229,43007,5.36,7.539989,-5.54708,60,purple
Liberia ,4818977,3248,0.43,6.428055,-9.429499,172,brown
Mali ,19077690,17180,0.04,17.570692,-3.996166,59,green
Niger ,22442948,9299,0.05,17.607789,8.081666,60,pink
Nigeria ,195874740,398186,29.75,9.081999,8.675277,59,orange
Senegal ,15854360,23498,1.89,14.497401,-14.452362,60,magenta
Sierra Leone ,7650154,4000,0.63,8.460555,-11.779889,59,gold
The Gambia ,2280102,1625,0.05,13.443182,-15.310139,55,coral
Togo ,7889094,5300,0.4,8.619543,0.824782,60,purple
